id,screen_area,feature,user_story,expected_behaviour,source_refs,status,test_method,test_result,error_type,error_detail,fix_summary,fix_refs,retest_result
BRD11,Board,Delete task (confirmed),"As a user, I want deletion to require confirmation, so that I don't lose work accidentally.","… → Delete opens a confirm dialog (cannot be undone), success toast, closes drawer if open; needs an error message on failure — today no onError so the dialog just re-enables silently.","TaskCard.tsx:123-130;Board.tsx:108-129,420-446;queries.ts:166-174",retested-pass,code-trace of cited path:line,fail,ux:states-are-features,Delete has no onError; confirm dialog silently re-enables on failure,Global MutationCache onError fallback toast surfaces the failure (skips mutations that own onError),src/lib/query-client.ts;src/main.tsx,"pass (build+test green, +3 tests)"
BRD12,Board,Task drawer — view,"As a user, I want to read a task's full detail, so that I understand it before acting.","Read mode: status menu, shortId, share, definition list (status/lane/linked doc), read-only rich description, tag chips; linked-doc link navigates and closes drawer.",TaskDrawer.tsx:140-252,tested,code-trace of cited path:line,pass,none,,,,
BRD13,Board,Task drawer — edit,"As a user, I want to edit label/description/tags, so that I refine a task in place.",Edit toggle → editor; description re-serialized only if dirty (lossy-guard); label patched only if changed+non-empty; needs a save-failure message — today save has no error surface.,"TaskDrawer.tsx:100-136,147-260",retested-pass,code-trace of cited path:line,fail,ux:states-are-features,Drawer save has no error surface,Global MutationCache onError fallback toast surfaces the failure (skips mutations that own onError),src/lib/query-client.ts;src/main.tsx,"pass (build+test green, +3 tests)"
BRD14,Board,Add / remove tags,"As a user, I want to tag tasks, so that I categorize and filter them.",Datalist-suggested add + per-chip remove; server uses full-set replace; needs failure feedback — today silent on failure.,TaskDrawer.tsx:243-351;Board.tsx:145-162,retested-pass,code-trace of cited path:line,fail,ux:states-are-features,Tag add/remove silent on failure,Global MutationCache onError fallback toast surfaces the failure (skips mutations that own onError),src/lib/query-client.ts;src/main.tsx,"pass (build+test green, +3 tests)"
BRD15,Board,Tag filter bar,"As a planner, I want to filter the board by tag, so that I focus on a subset.","Bar renders only when project has tags; toggle buttons (aria-pressed) with OR semantics, Clear-filter when active; client-side over loaded tasks.","Board.tsx:68,73-99,173-304;board-utils.ts:45-54",tested,code-trace of cited path:line,pass,none,,,,
BRD16,Board,Linked-doc indicator,"As a user, I want to see which tasks have a spec doc, so that I jump to context.",FileText icon (aria-labeled) on cards whose id is a document linked_task; drawer shows a clickable linked-doc row.,"TaskCard.tsx:144-146;TaskDrawer.tsx:206-221;Board.tsx:65-66,448-486",tested,code-trace of cited path:line,pass,none,,,,
BRD17,Board,Lane display,"As a supervisor, I want to see a task's factory lane, so that I know its review gate.",Lane derived from a lane: tag shown uppercase on card+drawer; a real user needs an in-drawer lane editor and plain-language meaning — today it is set only at create and the auto/approve/full labels are unexplained jargon.,"TaskCard.tsx:35,139-143;TaskDrawer.tsx:117,200-205;board-utils.ts:30-41",error,code-trace of cited path:line,fail,ux:you-are-not-the-user,Lane labels auto/approve/full are unexplained jargon; no in-drawer editor,,,
BRD18,Board,Short task id,"As a user, I want a compact id on each card, so that I can reference the task.",Last 4 chars of the UUID uppercased in mono; a real user cannot tell what it means or that it may not be unique — needs a tooltip/label.,"TaskCard.tsx:147,197-199;TaskDrawer.tsx:144,354-356",error,code-trace of cited path:line,fail,ux:you-are-not-the-user,shortId (4 UUID chars) has no label/tooltip; meaning+uniqueness unclear,,,
CNV01,Canvas/Flow,Flow page shell,"As a planner, I want the flow route to show the canvas beside an agent-activity rail, so that I see structure and agent work together.",Loading 'Loading project…'; error alert; 'Project not found.'; success renders FlowCanvas + 300px agents panel; no role gating (anyone who loads can edit).,routes/projects.$id.flow.tsx:8-36,tested,code-trace of cited path:line,pass,none,,,,
CNV02,Canvas/Flow,Canvas graph render,"As a planner, I want tasks and edges drawn as a node graph, so that I see the plan spatially.",Load/error/not-found states present; ReactFlow with dotted bg + fitView; BUT a project with zero tasks shows only the dot grid with no 'add your first task' guidance.,"FlowCanvas.tsx:176-196,327-411;canvas-map.ts:42-70",error,code-trace of cited path:line,fail,ux:states-are-features,"Empty canvas shows only a dot grid, no add-first-task guidance",,,
CNV03,Canvas/Flow,Add task (canvas panel),"As a planner, I want to type a name and add a task, so that a new node appears.",Top-left form; empty blocked; new task placed at viewport center; a real user needs the new node to be visible and a failure message — today create has no onError and the node can land off-screen depending on pan/zoom.,FlowCanvas.tsx:51-111;queries.ts:146-154,retested-pass,code-trace of cited path:line,fail,ux:states-are-features,Add-task has no onError; new node can land off-screen,Global MutationCache onError fallback toast surfaces the failure (skips mutations that own onError),src/lib/query-client.ts;src/main.tsx,"pass (build+test green, +3 tests)"
CNV04,Canvas/Flow,Rename task inline (node),"As a planner, I want to click a node title to rename, so that I relabel quickly.","Click title → input; Enter/blur commits, Escape reverts; empty/unchanged reverts; needs a failure signal — today patch has no error state.","TaskNode.tsx:24-90,203-211;queries.ts:156-164",retested-pass,code-trace of cited path:line,fail,ux:states-are-features,Inline rename patch silent on failure,Global MutationCache onError fallback toast surfaces the failure (skips mutations that own onError),src/lib/query-client.ts;src/main.tsx,"pass (build+test green, +3 tests)"
CNV05,Canvas/Flow,Change status (node menu),"As a planner, I want to change status from a node, so that the board reflects progress.",StatusMenu chip optimistically updates + patches; needs failure feedback — silent on error.,"TaskNode.tsx:103-111,212-219",retested-pass,code-trace of cited path:line,fail,ux:states-are-features,Node status change silent on failure,Global MutationCache onError fallback toast surfaces the failure (skips mutations that own onError),src/lib/query-client.ts;src/main.tsx,"pass (build+test green, +3 tests)"
CNV06,Canvas/Flow,Delete task (node X),"As a planner, I want to delete a task from its node, so that I can prune the plan.",X → confirm('Delete this task? Connected edges will be removed.'); confirmed destructive; needs a failure signal — delete has no error state.,"TaskNode.tsx:42-101,220-229;queries.ts:166-174",retested-pass,code-trace of cited path:line,fail,ux:states-are-features,Node delete silent on failure,Global MutationCache onError fallback toast surfaces the failure (skips mutations that own onError),src/lib/query-client.ts;src/main.tsx,"pass (build+test green, +3 tests)"
CNV07,Canvas/Flow,Open linked doc (node),"As a planner, I want a Doc link on tasks with a spec, so that I jump to it.",Link appears only when a linked doc resolves; routes to the doc; tasks with no doc show nothing and offer no way to create/link a doc from the canvas.,TaskNode.tsx:112-116;OpenDocLink.tsx:9-24;canvas-map.ts:26-40,tested,code-trace of cited path:line,pass,none,,,,
CNV08,Canvas/Flow,Create edge (drag handle),"As a planner, I want to drag node→node to declare a dependency, so that I build the graph visually.",Drag between handles adds an edge and saves; but every hand-drawn edge is hard-coded 'depends_on' with no UI to choose/edit the label; handles are a hidden affordance; no per-edge error surface.,"FlowCanvas.tsx:236-252,400;api.ts:14;canvas-map.ts:82-92",error,code-trace of cited path:line,fail,ux:you-are-not-the-user,Hand-drawn edges hard-coded depends_on; no UI to choose/edit label,,,
CNV09,Canvas/Flow,Edge label display/edit,"As a planner, I want each edge to show its relationship, so that I understand the dependency.",LabeledEdge shows a pill label; a real user needs to set/change it (blocks/feeds/enables) but the UI is read-only and the vocabulary is snake_case jargon.,LabeledEdge.tsx:10-46;canvas-map.ts:62-69,error,code-trace of cited path:line,fail,ux:hidden-affordance,Edge label read-only; richer labels unreachable; snake_case jargon,,,
CNV10,Canvas/Flow,Delete edge,"As a planner, I want to delete a dependency edge, so that I correct the graph.",Select edge → top 'Delete edge' button or Delete/Backspace (suppressed in inputs) → confirm; confirmed destructive; selection cleared.,"FlowCanvas.tsx:283-322,358-370;queries.ts:442-450",tested,code-trace of cited path:line,pass,none,,,,
CNV11,Canvas/Flow,Move node (persist),"As a planner, I want to drag nodes and have positions saved, so that my arrangement sticks.",Drag → 400ms-debounced putCanvas persists positions+edges; 'Saving…' pill + 'Save failed' alert on error (good).,"FlowCanvas.tsx:254-256,401;useCanvasSync.ts:6,39-51",tested,code-trace of cited path:line,pass,none,,,,
CNV12,Canvas/Flow,Auto layout,"As a planner, I want a one-click tidy layout, so that a messy graph becomes readable.","Dagre layout + grid-pack isolated nodes + fitView, saved immediately; but it overwrites all manual positions with no confirm and no undo.","FlowCanvas.tsx:113-131,258-264;layout.ts:15-88",retested-pass,code-trace of cited path:line,fail,ux:change-feels-like-loss,"Auto-layout overwrites all manual positions, no confirm, no undo",Auto-layout now behind a ConfirmDialog (warns manual arrangement is replaced),components/canvas/FlowCanvas.tsx,"pass (build+test green, +3 tests)"
CNV13,Canvas/Flow,Zoom / fit controls,"As a planner, I want zoom and fit controls, so that I navigate large graphs.",Bottom-left zoom-in/out/fit buttons + standard pan/scroll.,"FlowCanvas.tsx:133-174,410",tested,code-trace of cited path:line,pass,none,,,,
CNV14,Canvas/Flow,Select node → detail panel,"As a planner, I want clicking a node to open a detail panel, so that I edit full fields.",Selection opens right TaskDetail (status/assignee/due/doc/description/comments); Edit toggle; Save disabled while saving; close deselects.,"FlowCanvas.tsx:266-270,324-393;TaskDetail.tsx:34-150",tested,code-trace of cited path:line,pass,none,,,,
CNV15,Canvas/Flow,Edit task details,"As a planner, I want to edit label/assignee/due/description, so that the spec is complete.","Edit exposes fields + rich description (re-serialized only if dirty, lossless otherwise); needs a save-failure signal — no error state.","TaskDetail.tsx:46-96,152-247",retested-pass,code-trace of cited path:line,fail,ux:states-are-features,Detail edit save silent on failure,Global MutationCache onError fallback toast surfaces the failure (skips mutations that own onError),src/lib/query-client.ts;src/main.tsx,"pass (build+test green, +3 tests)"
CNV16,Canvas/Flow,Task tags on canvas,"As a planner, I want to tag tasks on the canvas, so that I categorize them anywhere.","TaskDetail supports tags but FlowCanvas doesn't pass the tag handlers, so the entire Tags section is absent on the canvas — a feature that exists but is unreachable here.","TaskDetail.tsx:95-96,249-316;FlowCanvas.tsx:371-393",error,code-trace of cited path:line,fail,ux:hidden-affordance,Task tags exist in TaskDetail but unreachable on canvas (handlers not passed),,,
CNV17,Canvas/Flow,Comment on task/passage,"As a planner, I want to comment on a task or a highlighted passage, so that I leave feedback.",CommentsPanel embedded in detail; selecting a passage stages it for the next comment.,"TaskDetail.tsx:51,235-247,318-325",tested,code-trace of cited path:line,pass,none,,,,
CNV18,Canvas/Flow,Agents activity panel,"As a planner, I want to see recent agent runs and events, so that I know what automation did.","Runs newest-first with status badge, relative time, event messages; loading/error/empty all covered; read-only.",AgentRunsPanel.tsx:62-136;queries.ts:491-497,tested,code-trace of cited path:line,pass,none,,,,
CNV19,Canvas/Flow,Keyboard delete scope,"As a planner, I want Delete/Backspace to remove what I selected, so that editing is fast.","Delete removes selected EDGES only (with confirm, suppressed in inputs); selected NODES are not keyboard-deletable (inconsistent) and the container must be focused for it to work.","FlowCanvas.tsx:304-322,340-344",error,code-trace of cited path:line,fail,ux:match-mental-model,Delete key removes edges only not nodes (inconsistent); needs container focus,,,
DOC01,Documents,Documents page shell,"As a project member, I want the documents area to load reliably, so that I trust what I see.",Project load/error/not-found gated; BUT docs/folders/tasks default to [] with their own loading/error NOT surfaced — a failed docs query looks like an empty panel.,projects.$id.documents.index.tsx:12-35,retested-pass,code-trace of cited path:line,fail,ux:states-are-features,Docs/folders default to [] with loading/error unsurfaced; failed query looks empty,Surfaced docs/folders query error instead of an empty panel,routes/projects.$id.documents.index.tsx,"pass (build+test green, +3 tests)"
DOC02,Documents,Folder breadcrumb,"As a user, I want to jump to any folder-path level, so that I don't get lost.","Root crumb + trail up to root, current level bold; trail breaks silently on a dangling folder id.","DocumentsPanel.tsx:331-344,491-524",tested,code-trace of cited path:line,pass,none,,,,
DOC03,Documents,Recent documents strip,"As a returning user, I want the 4 most-recent docs, so that I resume what changed.","Shown at root when ≥1 doc, sorted by updated_at; cards show title+status.","DocumentsPanel.tsx:356-362,550-577",tested,code-trace of cited path:line,pass,none,,,,
DOC04,Documents,Create folder,"As an organizer, I want to add a folder, so that I group docs.",Single-field dialog; success toast + invalidate; on failure NO error surfaced (no onError) — dialog just returns to idle.,"DocumentsPanel.tsx:367-377,713-722;queries.ts:326-334",retested-pass,code-trace of cited path:line,fail,ux:states-are-features,Create folder silent on failure,Global MutationCache onError fallback toast surfaces the failure (skips mutations that own onError),src/lib/query-client.ts;src/main.tsx,"pass (build+test green, +3 tests)"
DOC05,Documents,Create document (+task link),"As a user, I want to create a doc optionally linked to a task, so that specs tie to work.",Title required + optional task-link select (only if tasks exist); success toast; on failure silent; the task-link option is invisible when no tasks exist so the user can't tell linking is possible.,"DocumentsPanel.tsx:379-399,724-793;queries.ts:270-278",retested-pass,code-trace of cited path:line,fail,ux:states-are-features,Create doc silent on failure; task-link option invisible when no tasks,Global MutationCache onError fallback toast surfaces the failure (skips mutations that own onError),src/lib/query-client.ts;src/main.tsx,"pass (build+test green, +3 tests)"
DOC06,Documents,Open document,"As a reader, I want to click a doc to open it, so that I read/edit.",Doc rows + recent cards are SPA links to the doc.,"DocumentsPanel.tsx:558-573,668-674",tested,code-trace of cited path:line,pass,none,,,,
DOC07,Documents,Folder cards + counts,"As a browser, I want each folder's contents at a glance, so that I decide where to go.","Cards show name + 'N documents · M folders' (direct counts, non-recursive).",DocumentsPanel.tsx:580-614,tested,code-trace of cited path:line,pass,none,,,,
DOC08,Documents,Rename folder,"As an organizer, I want to rename a folder, so that names stay accurate.",Kebab→Rename dialog prefilled; success toast; on failure silent (no onError).,"DocumentsPanel.tsx:401-414,615-622,795-808",retested-pass,code-trace of cited path:line,fail,ux:states-are-features,Rename folder silent on failure,Global MutationCache onError fallback toast surfaces the failure (skips mutations that own onError),src/lib/query-client.ts;src/main.tsx,"pass (build+test green, +3 tests)"
DOC09,Documents,Move folder,"As an organizer, I want to move a folder under another parent, so that I restructure.",Kebab→Move; destination excludes descendants (cycle-safe); success toast; on failure silent.,"DocumentsPanel.tsx:416-430,478-484,810-822",retested-pass,code-trace of cited path:line,fail,ux:states-are-features,Move folder silent on failure,Global MutationCache onError fallback toast surfaces the failure (skips mutations that own onError),src/lib/query-client.ts;src/main.tsx,"pass (build+test green, +3 tests)"
DOC10,Documents,Move document,"As an organizer, I want to move a doc to another folder, so that filing stays right.",Kebab→Move to any folder/Root; no-op if unchanged; success toast; on failure silent.,"DocumentsPanel.tsx:432-446,824-836",retested-pass,code-trace of cited path:line,fail,ux:states-are-features,Move doc silent on failure,Global MutationCache onError fallback toast surfaces the failure (skips mutations that own onError),src/lib/query-client.ts;src/main.tsx,"pass (build+test green, +3 tests)"
DOC11,Documents,Delete folder,"As an organizer, I want to delete a folder without orphaning contents, so that nothing is lost.",Confirm dialog explains contents move up a level; success toast; on failure silent.,"DocumentsPanel.tsx:448-461,631-638,838-849",retested-pass,code-trace of cited path:line,fail,ux:states-are-features,Delete folder silent on failure,Global MutationCache onError fallback toast surfaces the failure (skips mutations that own onError),src/lib/query-client.ts;src/main.tsx,"pass (build+test green, +3 tests)"
DOC12,Documents,Delete document,"As a user, I want to delete a doc with a warning, so that I don't lose work.","Confirm dialog (doc+comments deleted, cannot be undone); success toast; on failure silent.","DocumentsPanel.tsx:463-476,698-705,850-861",retested-pass,code-trace of cited path:line,fail,ux:states-are-features,Delete doc silent on failure,Global MutationCache onError fallback toast surfaces the failure (skips mutations that own onError),src/lib/query-client.ts;src/main.tsx,"pass (build+test green, +3 tests)"
DOC13,Documents,List empty states,"As a first-time user, I want guidance when there's nothing, so that I know what to do.",Root/folder/level-specific empty messages present.,"DocumentsPanel.tsx:486,652-659",tested,code-trace of cited path:line,pass,none,,,,
DOC14,Documents,Doc row metadata,"As a scanner, I want status + linked-task at a glance, so that I gauge state fast.",Status line + linked-task chip; both hidden below sm/md breakpoints and chip vanishes if tasks not yet loaded.,"DocumentsPanel.tsx:292-298,675-688",error,code-trace of cited path:line,fail,ux:cut-the-load,Row status+linked-task hidden below sm/md; chip vanishes if tasks not loaded,,,
DOC15,Documents,Reader/Edit toggle,"As a reader, I want to read cleanly then switch to edit, so that reading isn't cluttered.",Existing docs open in Reader (read-first); new/empty doc auto-opens Edit; controls only in Edit.,projects.$id.documents.$docId.tsx:27-99;DocumentEditor.tsx:66-120,tested,code-trace of cited path:line,pass,none,,,,
DOC16,Documents,Autosave,"As a writer, I want edits saved automatically so I never lose work or hunt for a Save button.","~1s debounce, 5s maxWait, ⌘S flush, unmount + beforeunload flush; SaveStatusIndicator shows Unsaved→Saving→Saved (+error); route 'Save failed' banner; ⌘S and exit-flush are invisible affordances.",useAutosave.ts:22-125;SaveStatusIndicator.tsx:5-32;queries.ts:288-298,tested,code-trace of cited path:line,pass,none,,,,
DOC17,Documents,Title & status editing,"As a writer, I want inline title + status line, so that metadata stays in the doc.",Borderless title + Status field feed autosave; empty status saved null.,DocumentEditor.tsx:66-120,tested,code-trace of cited path:line,pass,none,,,,
DOC18,Documents,Formatting toolbar,"As a writer, I want quick formatting buttons, so that I style without markdown.","Bold/Italic/H2/List/Table/Image with aria-pressed; toolbar uses hardcoded hex, ignoring theme tokens/dark mode.",RichTextEditor.tsx:679-758,error,code-trace of cited path:line,fail,ux:consistency,Formatting toolbar hardcoded hex; ignores theme tokens/dark mode,,,
DOC19,Documents,Slash / command menu,"As a Notion-familiar writer, I want a / menu to insert blocks, so that I stay on the keyboard.",/ opens a filterable block menu with keyboard nav + 'No results'; but nothing on screen hints that / exists — pure tacit discovery.,editor-extensions.tsx:19-134;EditorSuggestion.tsx:28-207,retested-pass,code-trace of cited path:line,fail,ux:hidden-affordance,No on-screen hint that / opens the block menu,Editor placeholder hints '/ for blocks and [[ to link a doc',components/editor/RichTextEditor.tsx,"pass (build+test green, +3 tests)"
DOC20,Documents,[[ document links,"As a writer, I want to link project docs by typing [[, so that specs cross-reference.","[[ suggests up to 12 docs, inserts an in-app link, reader intercepts clicks for SPA nav; no on-screen hint that [[ exists.",editor-extensions.tsx:136-175;RichTextEditor.tsx:544-553,retested-pass,code-trace of cited path:line,fail,ux:hidden-affordance,No on-screen hint that [[ inserts a doc link,Editor placeholder hints '/ for blocks and [[ to link a doc',components/editor/RichTextEditor.tsx,"pass (build+test green, +3 tests)"
DOC21,Documents,Image upload,"As a writer, I want to drop/paste images, so that specs carry visuals.",Paste/drop/button upload to a hosted file URL; on upload failure it silently falls back to an inline base64 data URL — the user is never told it wasn't hosted.,"RichTextEditor.tsx:179-203,367-375;image-upload.ts:18-37",error,code-trace of cited path:line,fail,ux:states-are-features,Image upload failure silently falls back to base64; user not told,,,
DOC22,Documents,Image annotation,"As a reviewer, I want to annotate/redact images inline, so that I point at things and hide secrets.","Hover→Annotate; arrow/box/text/blur tools; blur baked destructively (safe on secrets); overlays re-editable; annotate only appears on hover and blur permanence is explained only in code, not UI.",AnnotatableImage.tsx:42-513,error,code-trace of cited path:line,fail,ux:hidden-affordance,Annotate only on hover; blur permanence not explained in UI,,,
DOC23,Documents,Comment on selection,"As a reviewer, I want to highlight text and comment on that passage, so that feedback is anchored.",Select text → floating 'Add comment' → anchored composer; ⌘Enter submits; success toast.,"RichTextEditor.tsx:288-356,587-671",tested,code-trace of cited path:line,pass,none,,,,
DOC24,Documents,Comments rail,"As a collaborator, I want an open/resolved comments panel, so that I track feedback with a teammate/agent.",Loading/error/empty states; rich composer + attach-selection; per-comment resolve/reopen/delete (confirm); show-resolved collapsible.,CommentsPanel.tsx:114-351,tested,code-trace of cited path:line,pass,none,,,,
INB01,Inbox,Inbox page load gate,"As an owner/member triaging, I want the project resolved before triage UI, so that I don't act on stale data.","Loading/error/not-found gated, then FileIssue + InboxPanel + AgentRuns.",projects.$id.inbox.tsx:11-35,tested,code-trace of cited path:line,pass,none,,,,
INB02,Inbox,File an issue,"As a member triaging, I want to hand-file an issue into the backlog, so that internal items enter the pipeline.","Expandable form (title req, desc, severity) creates a backlog task; success clears+collapses+toast; error alert; heading and button both say 'File an issue' (duplicate).",FileIssue.tsx:32-177,error,code-trace of cited path:line,fail,ux:consistency,"Heading and button both say ""File an issue"" (duplicate)",,,
INB03,Inbox,Pending submissions list,"As an owner, I want to see all pending client submissions, so that I act on incoming feedback.",Count badge; loading/error/empty ('no share configured or nothing new'); rows show title/severity/participant/excerpt.,InboxPanel.tsx:97-245,tested,code-trace of cited path:line,pass,none,,,,
INB04,Inbox,Approve submission,"As an owner, I want to accept a submission, so that it becomes tracked work.",Approve → triage accept; disabled while pending (no loading label); success toast; inline error on failure.,InboxPanel.tsx:128-147,error,code-trace of cited path:line,fail,ux:states-are-features,Approve button has no loading label (only disabled),,,
INB05,Inbox,Reject submission,"As an owner, I want to reject a submission, so that spam is cleared.",Reject fires immediately on a single click with no confirmation — a destructive action that should confirm; success toast.,InboxPanel.tsx:148-161,retested-pass,code-trace of cited path:line,fail,ux:change-feels-like-loss,Reject fires on single click with no confirmation (destructive),Reject now behind a ConfirmDialog,components/inbox/InboxPanel.tsx,"pass (build+test green, +3 tests)"
INB06,Inbox,Merge submission into task,"As an owner, I want to fold a duplicate into an existing task, so that I avoid duplicate work.",Requires typing a raw task id into a free-text field (no picker/search) then Merge; success toast — opaque id entry.,InboxPanel.tsx:162-188,error,code-trace of cited path:line,fail,ux:hidden-affordance,Merge requires typing a raw task id; no picker/search,,,
INB07,Inbox,Submission comments,"As an owner, I want to discuss a submission inline, so that triage context is captured.",Toggle embedded CommentsPanel; label shows open-comment count.,"InboxPanel.tsx:105-109,191-209",tested,code-trace of cited path:line,pass,none,,,,
INB08,Inbox,Backlog release to scope,"As an owner, I want to release a backlog task to scope, so that it enters design/sizing.",Backlog list w/ loading/error/empty; 'Release to scope' patches status; success toast — 'Release to scope' is factory jargon.,InboxPanel.tsx:247-302,error,code-trace of cited path:line,fail,ux:you-are-not-the-user,"""Release to scope"" is factory jargon",,,
INB09,Inbox,Curator proposals,"As an owner, I want to see Curator-proposed scope tasks, so that I know what AI suggested.","Filters scope tasks with 'Provenance:'; 'Looks good' button is a local-only no-op (not persisted, lost on reload) and the copy admits real approval happens on the Board — a dead affordance + heavy jargon.","InboxPanel.tsx:304-363,36-42",retested-pass,code-trace of cited path:line,fail,logic,"""Looks good"" is a local-only no-op (not persisted, lost on reload); heavy jargon",Removed local-only no-op 'Looks good' button; note now links to the Board,components/inbox/InboxPanel.tsx,"pass (build+test green, +3 tests)"
POR01,Portal,Portal route session gate,"As an external guest, I want a share link to resolve my session, so that I reach the right screen.",localStorage session; no session/401→JoinGate; loading; 404→'Not published yet'; error alert; undefined→'not found'; invalid session auto-clears.,"p.$shareToken.tsx:15-92;portal.ts:112-131,207-233",tested,code-trace of cited path:line,pass,none,,,,
POR02,Portal,Guest join gate,"As a non-technical client with no account, I want to enter my name (and invited email) to view a read-only plan, so that I access it without signing up.",Fetches meta (loading); heading=audience; copy adapts invite vs public; email required+hint in invite mode; 'Joining…'; clear for a layperson.,JoinGate.tsx:20-197;portal.ts:151-165,tested,code-trace of cited path:line,pass,none,,,,
POR03,Portal,Join not-invited error,"As an invited guest, I want a clear message if my email isn't listed, so that I know why I'm blocked.",403 email_not_invited → field error under email; other errors → generic message.,"JoinGate.tsx:92-95,182-186;portal.ts:71-76",tested,code-trace of cited path:line,pass,none,,,,
POR04,Portal,Join invalid/expired link,"As a guest with a dead link, I want to be told it's unusable, so that I stop retrying.","401 → 'invalid, expired, or revoked'; fields+button disabled (terminal) — but no next-step guidance for the guest.","JoinGate.tsx:42-49,90-129,175-189",error,code-trace of cited path:line,fail,ux:design-the-end,Dead-link state disables everything with no next-step guidance,,,
POR05,Portal,Portal project view,"As a guest, I want the shared project header/progress, so that I understand status at a glance.",Name + read-only badge + audience + description; progress chips only if progress present.,PortalPage.tsx:49-82,tested,code-trace of cited path:line,pass,none,,,,
POR06,Portal,Portal board (read-only),"As a guest, I want tasks grouped by status, so that I see structure.",Columns in fixed order with counts; cards non-interactive; zero tasks shows empty columns with no dedicated empty-board message.,PortalBoard.tsx:67-103;PortalTaskCard.tsx:23-50,error,code-trace of cited path:line,fail,ux:states-are-features,Empty portal board shows empty columns with no empty-board message,,,
POR07,Portal,Portal dependencies,"As a guest, I want task relationships, so that I understand sequencing.",Rendered only if edges exist; rows 'fromLabel → toLabel (label)' — the arrow + edge label are unexplained to a layperson.,PortalPage.tsx:89-108,error,code-trace of cited path:line,fail,ux:you-are-not-the-user,Dependency rows use unexplained → arrow + edge label for a layperson,,,
